,studentID,StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,OnlineCourses,Discussions,AssignmentCompletion,ExamScore,EDTech_Usage_Level,StressLevel,FinalGrade,RiskLevel,LearningStyle_1,LearningStyle_2,LearningStyle_3
0,STU00001,19,64,1,0,0,1,0,19,8,1,59,40,0,1,3,3,0,1,0
1,STU00002,19,64,1,0,0,1,0,23,16,0,90,66,0,1,2,2,0,0,1
2,STU00003,19,64,1,0,0,1,0,28,19,0,67,99,1,1,0,0,1,0,0
3,STU00004,19,64,1,1,0,1,0,19,8,1,59,40,0,1,3,3,0,1,0
4,STU00005,19,64,1,1,0,1,0,23,16,0,90,66,0,1,2,2,0,0,1
5,STU00006,19,64,1,1,0,1,0,28,19,0,67,99,1,1,0,0,1,0,0
6,STU00007,19,64,0,1,0,1,0,19,8,1,59,40,0,1,3,3,0,1,0
7,STU00008,19,64,0,1,0,1,0,23,16,0,90,66,0,1,2,2,0,0,1
8,STU00009,19,64,0,1,0,1,0,28,19,0,67,99,1,1,0,0,1,0,0
9,STU00010,19,64,1,1,1,1,0,19,8,1,59,40,0,1,3,3,0,1,0
10,STU00011,19,64,1,1,1,1,0,23,16,0,90,66,0,1,2,2,0,0,1
11,STU00012,19,64,1,1,1,1,0,28,19,0,67,99,1,1,0,0,1,0,0
15,STU00013,19,64,2,0,1,1,0,19,8,1,59,40,0,1,3,3,0,1,0
16,STU00014,19,64,2,0,1,1,0,23,16,0,90,66,0,1,2,2,0,0,1
17,STU00015,19,64,2,0,1,1,0,28,19,0,67,99,1,1,0,0,1,0,0
18,STU00016,24,98,1,1,1,1,1,29,3,0,65,46,1,2,3,3,0,0,0
19,STU00017,24,98,1,1,1,1,1,27,0,1,71,83,1,0,1,1,0,0,0
20,STU00018,24,98,1,1,1,1,1,25,5,1,61,95,1,0,0,0,1,0,0
24,STU00019,24,98,0,0,2,1,1,29,3,0,65,46,1,2,3,3,0,0,0
25,STU00020,24,98,0,0,2,1,1,27,0,1,71,83,1,0,1,1,0,0,0
